x,y,z
-7.822478708,-8.791816045,24.79206089
-7.922645043,-8.954275885,24.82900213
-8.028644149,-9.114638373,24.88672302
-8.139644887,-9.271319905,24.96526762
-8.254740341,-9.422652615,25.06448319
-8.372947614,-9.566897538,25.1839982
-8.493209151,-9.702263007,25.323201
-8.614395963,-9.826928616,25.48122045
-8.735313086,-9.93907482,25.65690954
-8.854707628,-10.036918,25.84883346
-8.971279611,-10.11875051,26.05526363
-9.08369582,-10.18298473,26.27417887
-9.190606658,-10.22820001,26.50327525
-9.290665941,-10.25319058,26.73998548
-9.382553336,-10.25701268,26.9815086
-9.464999001,-10.23902828,27.2248501
-9.536809791,-10.19894323,27.46687215
-9.596896203,-10.13683706,27.70435285
-9.644299111,-10.05318251,27.93405275
-9.678215208,-9.948852613,28.15278637
-9.69802006,-9.825114286,28.35749578
-9.703287651,-9.683607768,28.54532306
-9.693805437,-9.526312312,28.71367833
-9.66958408,-9.355499299,28.86030003
-9.630861251,-9.173674806,28.98330476
-9.578099206,-8.983514364,29.08122434
-9.511976133,-8.787793084,29.1530286
-9.433371594,-8.5893146,29.19813358
-9.34334667,-8.390842231,29.21639511
-9.24311969,-8.195035441,29.20808925
-9.134038594,-8.004394219,29.17388137
-9.017551109,-7.821213289,29.11478612
-8.895173939,-7.647547328,29.03212108
-8.768462136,-7.485187621,28.9274568
-8.638979724,-7.335649873,28.80256566
-8.508272467,-7.200172306,28.65937205
-8.377843501,-7.079722719,28.49990551
-8.249132328,-6.975012916,28.32625847
-8.123497472,-6.886518722,28.14054932
-8.002202888,-6.814503836,27.94489144
-7.886408052,-6.759045856,27.74136825
-7.777161513,-6.720062972,27.53201405
-7.675397577,-6.697340079,27.31880018
-7.581935714,-6.690553293,27.10362596
-7.497482251,-6.699292101,26.88831361
-7.422633861,-6.723078616,26.67460646
-7.357882399,-6.761383626,26.46416974
-7.303620644,-6.813639278,26.25859318
-7.260148529,-6.879248401,26.05939485
-7.227679506,-6.957590571,25.86802563
-7.20634673,-7.048025114,25.68587382
-7.196208801,-7.149891284,25.5142694
-7.197254848,-7.262505907,25.35448767
-7.209408794,-7.385158815,25.20775176
-7.232532684,-7.517106391,25.07523385
-7.266429014,-7.65756359,24.95805476
-7.310842005,-7.805694803,24.85728166
-7.365457858,-7.960603963,24.77392376
-7.429904023,-8.121324326,24.70892561
-7.503747559,-8.286808372,24.66315812
-7.58649273,-8.45591836,24.6374069
-7.677577976,-8.627418074,24.63235806
-7.776372474,-8.799966386,24.64858142
-7.882172533,-8.97211328,24.68651123
-7.994198094,-9.14229906,24.74642465
-8.111589685,-9.308857437,24.82841841
-8.233406172,-9.470023238,24.93238424
-8.358623714,-9.62394539,25.05798375
-8.486136334,-9.768705766,25.20462382
-8.614758536,-9.902344305,25.37143368
-8.743230376,-10.0228906,25.55724508
-8.870225375,-10.12840185,25.76057707
-8.994361576,-10.2170067,25.97962707
-9.114215974,-10.28695399,26.2122699
-9.228342404,-10.33666518,26.45606618
-9.335292809,-10.36478842,26.70828168
-9.433641617,-10.37025204,26.96591814
-9.52201276,-10.3523149,27.22575625
-9.599108628,-10.31061051,27.48441016
-9.663740048,-10.2451823,27.7383927
-9.714856217,-10.15650711,27.98418919
-9.75157335,-10.04550484,28.21833731
-9.77320077,-9.913532512,28.43750971
-9.77926316,-9.762362233,28.63859558
-9.769517814,-9.594143221,28.81877744
-9.743965911,-9.411349306,28.97559913
-9.702857097,-9.216714253,29.1070219
-9.646687011,-9.01315805,29.2114658
-9.576187752,-8.80370793,29.28783487
-9.492311634,-8.59141813,29.33552524
-9.396208971,-8.379292374,29.35441683
-9.289200878,-8.170212681,29.34484989
-9.172748333,-7.96687749,29.30758875
-9.048418839,-7.771751294,29.24377551
-8.917852099,-7.587027056,29.15487678
-8.78272602,-7.414601823,29.04262678
-8.644724275,-7.256065081,28.90896962
-8.505506414,-7.112698767,28.75600342
-8.366681338,-6.985487304,28.58592845
-8.229784655,-6.87513574,28.40100065
-8.096260234,-6.782093909,28.2034917
-7.967446016,-6.706584577,27.99565602
-7.844563978,-6.648633657,27.77970463
-7.728713943,-6.608100826,27.55778566
-7.62087086,-6.584709133,27.33197088
-7.521885063,-6.578072525,27.10424742
-7.432484978,-6.587720459,26.87651389
-7.353281758,-6.613119089,26.65058009
-7.284775299,-6.653688717,26.42816932
-7.227361164,-6.708817393,26.21092263
-7.181337949,-6.777870729,26.00040435
-7.1469147,-6.860198059,25.79810807
-7.124218045,-6.955135206,25.60546277
-7.113298754,-7.062004141,25.42383847
-7.1141375,-7.180109856,25.25455108
-7.126649659,-7.308734808,25.09886602
-7.150689015,-7.447131302,24.95800042
-7.186050305,-7.594512163,24.83312346
-7.232470563,-7.750040118,24.72535473
-7.289629286,-7.91281628,24.63576025
-7.357147461,-8.081868176,24.56534605
-7.434585536,-8.256137806,24.515049
-7.521440485,-8.434470266,24.48572484
-7.617142107,-8.615603516,24.47813328
-7.721048801,-8.798159969,24.49292002
-7.832443051,-8.980640593,24.53059602
-7.950526939,-9.161422339,24.59151399
-8.074418038,-9.338759689,24.67584259
-8.203146077,-9.51079117,24.78353888
-8.335650821,-9.675551636,24.91431985
-8.470781636,-9.83099105,25.06763396
-8.607299217,-9.975000309,25.24263414
-8.74387998,-10.10544447,25.43815369
-8.879123553,-10.22020338,25.65268688
-9.011563768,-10.31721925,25.88437609
-9.139683443,-10.39455042,26.13100752
-9.26193311,-10.45042962,26.39001727
-9.376753655,-10.48332499,26.65850942
-9.48260263,-10.4920011,26.9332873
-9.577983742,-10.475577,27.21089859
-9.661478791,-10.43357805,27.48769391
-9.731781036,-10.36597799,27.75989797
-9.78772879,-10.27322823,28.02369121
-9.828337854,-10.15627135,28.27529892
-9.852831291,-10.01653705,28.5110841
-9.860665079,-9.855919419,28.72763982
-9.851548244,-9.676735825,28.92187643
-9.825456322,-9.481668781,29.09109923
-9.782637282,-9.273693546,29.2330725
-9.723609446,-9.055995039,29.346067
-9.649151354,-8.831878477,29.42888857
-9.560283987,-8.604678446,29.48088726
-9.458246144,-8.377671084,29.50194754
-9.344464138,-8.15399362,29.49246095
-9.220517239,-7.936574771,29.4532843
-9.088100421,-7.728078535,29.38568629
-8.948986028,-7.530862832,29.29128664
